4,yeading face newcastle in fa cup premiership side newcastle united face a trip to ryman premier league leaders yeading in the fa cup third round.  the game - arguably the highlight of the draw - is a potential money-spinner for non-league yeading  who beat slough in the second round. conference side exeter city  who knocked out doncaster on saturday  will travel to old trafford to meet holders manchester united in january. arsenal were drawn at home to stoke and chelsea will play host to scunthorpe. the only other non-league side in the draw are hinckley united  who held brentford to a goalless draw on sunday. they will meet league one leaders luton if they win their replay against martin allen s team at griffin park.  a number of premiership teams face difficult away games against championship sides on the weekend of 8/9 january. third-placed everton visit plymouth  liverpool travel to burnley  crystal palace go to sunderland  fulham face carling cup semi-finalists watford  bolton meet ipswich  while aston villa were drawn against sheffield united. premiership strugglers norwich  blackburn  west brom are away at west ham  cardiff and preston north end respectively. southampton visit northampton  having already beaten the league two side in the carling cup earlier this season. middlesbrough were drawn away against either swindon or notts county  while spurs entertain brighton at white hart lane.  arsenal v stoke  swindon/notts co v middlesbrough  man utd v exeter  plymouth v everton  leicester v blackpool  derby v wigan  sunderland v crystal palace  wolves v millwall  yeading v newcastle  hull v colchester  tottenham v brighton  reading v stockport/swansea  birmingham v leeds  hartlepool v boston  milton keynes dons v peterborough  oldham v man city  chelsea v scunthorpe  cardiff v blackburn  charlton v rochdale  west ham v norwich  sheff utd v aston villa  preston v west brom  rotherham v yeovil  burnley v liverpool  bournemouth v chester  coventry v crewe  watford v fulham  ipswich v bolton  portsmouth v gillingham  northampton v southampton  qpr v nottm forest  luton v hinckley/brentford  matches to be played on weekend of 8/9 january.,sport
15,moya emotional after davis cup win carlos moya described spain s davis cup victory as the highlight of his career after he beat andy roddick to end the usa s challenge in seville.  moya made up for missing spain s 2000 victory through injury by beating roddick 6-2 7-6 (7-1) 7-6 (7-5) to give the hosts an unassailable 3-1 lead.  i have woken up so many nights dreaming of this day   said moya.  all my energy has been focused on today.  what i have lived today i do not think i will live again.  spain s only other davis cup title came two years ago in valencia  when they beat australia. and moya  nicknamed charly  admitted:  the davis cup is my dream and i was a bit nervous at the outset.  some people have said that i am obsessed but i think that it is better this way. it helps me reach my goals if i am obsessed.  it s really incredible - to get the winning point is really something.  spanish captain jordi arrese said:  charly played a great game. it was his opportunity and he hasn t let us down.  he had lost three times to roddick  and this was his day to beat him.  he had been waiting years to be in this position.  spain s victory was also remarkable for the performance of rafael nadal  who beat roddick in the opening singles.  aged 18 years and 185 days  the mallorcan became the youngest player to win the davis cup.  what a great way to finish the year   said nadal afterwards. us coach patrick mcenroe wants roddick and the rest of his team to play more tennis on clay and hone their skills on the surface.  i think it will help these guys even on slow hard courts to learn how to mix things up a little bit and to play a little bit smarter and tactically better.   obviously it s unrealistic to say that we re going to just start playing constantly on clay  with the schedule.  but certainly i think we can put the work in at the appropriate time and play a couple more events and play against these guys who are the best on this stuff   said mcenroe. roddick was left frustrated after losing both his singles on the slow clay of seville s olympic stadium.  it s just tough because i felt like i was in it the whole time against one of the top three clay-courters in the world   said the american.  i had my chances and just didn t convert them. the bottom line is they were just better than us this weekend.  they came out  took care of business and they beat us. it s as simple as that.,sport
18,connors boost for british tennis former world number one jimmy connors is planning a long-term relationship with the lawn tennis association to help unearth the next tim henman.  the american spent three days at the lta s annual elite performance winter camp in la manga earlier this week.  britain has the right attitude   said connors.  the more involved i can be with the lta  the better.  a short-term arrangement is just confusing. the kids will ask:  what am i doing there    lta chief executive  john crowther  added:  the relationship that jimmy s already started to develop with the coaches and the players has said to us that we d like some more of it.  we want to use jimmy for a number of weeks a year and we hope this is the beginning of a good long-term relationship.   the camp played host to more than 30 leading senior and junior players  including greg rusedski  arvind parmar and anne keothavong.  la manga is an amazing site to take a bunch of kids who want to be the best   said connors  speaking at queen s club in london.  what impressed me most was not only the coaches but the way the kids went about their workouts and the feeling they put into every practice they had.  it was interesting to me to see kids of 15  16  17  with that desire and passion  and that can only be brought about by the coaches surrounding them.  instilling the importance of work and practice is something you can t buy.  they know what s been given to them and all they have to do is give back the effort  and every minute of practice they were doing that.   speaking from la manga  lta performance director david felgate told bbc sport:  jimmy was fantastic with the players and the coaches  and very humble considering what he s achieved.  he worked through the coaches and hopefully it will grow and he ll get to have more of an individual relationship with some of the players and get to know them.  he made it clear from the word go he didn t want it to be short-term. this is a 52-week-a-year job for me  it s my life and my passion and it s the same with the coaches.  he respects that but he wants to be involved and have real input. and why would he stake his reputation on something that s not going to be successful   connors has also agreed to commentate for the bbc at next year s wimbledon championships. he will work during the second week of the tournament.,sport
26,moya fights back for indian title carlos moya became the first man to successfully defend the chennai open title by beating four-times finalist paradorn srichaphan 3-6 6-4 7-6 (7/5).  the spaniard then donated his £28 000 prize money to relief efforts for the victims of the asian tsunami. the final was close throughout  with thai second seed srichaphan - the 2003 winner - closing out the first set. but moya took the second set  before bouncing back from 5-2 down in the decider to force and win a tie-break. moya confirmed afterwards:  i m donating my prize money from this tournament for the tsunami victims  hoping it makes some difference to their lives. his contribution follows pledges by four other players to donate their prize money from the tournament  which went ahead after the 26 december disaster which has so far claimed at least 150 000 lives. scrichapan said he would donate an unspecified amount for relief work in thailand  where more than 5 000 people were killed. the atp has announced that it would contribute the us$25 000 tournament fee to unicef s emergency relief fund in tamil nadu. the atp tour s sponsor  mercedes  said it would also contribute  increasing the atp donation to us$40 000.,sport
42,federer claims dubai crown world number one roger federer added the dubai championship trophy to his long list of successes - but not before he was given a test by ivan ljubicic.  top seed federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. but ljubicic  who beat tim henman in the last eight  dug deep to secure the second set after a tense tiebreak. swiss star federer was not about to lose his cool  though  turning on the style to win the deciding set 6-3. the match was a re-run of last week s final at the world indoor tournament in rotterdam  where federer triumphed  but not until ljubicic had stretched him for five sets.  i really wanted to get off to a good start this time  and i did  and i could really play with confidence while he still looking for his rhythm   federer said.   that took me all the way through to 6-1 3-1 0-30 on his serve and i almost ran away with it. but he came back  and that was a good effort on his side.  ljubicic was at a loss to explain his poor showing in the first set.  i didn t start badly  but then suddenly i felt like my racket was loose and the balls were flying a little bit too much. and with roger  if you relax for a second it just goes very quick   he said.  after those first three games it was no match at all. i don t know  it was really weird. i was playing really well the whole year  and then suddenly i found myself in trouble just to put the ball in the court.  but despite his defeat  the world number 14 was pleased with his overall performance.  i had a chance in the third  and for me it s really positive to twice in two weeks have a chance against roger to win the match.  it s an absolutely great boost to my confidence that i m up there and belong with top-class players.,sport
44,disappointed scott in solid start allan scott is confident of winning a medal at next week s european indoor championships after a solid debut on the international circuit.  the 22-year-old scot finished fourth in the 60m hurdles at the jose m cagigal memorial meeting in madrid.  it was definitely a learning curve and i certainly haven t ruled out challenging for a medal next week   said the east kilbride athlete. the race was won by felipe vivancos  who equalled the spanish record.  sweden s robert kronberg was second  with haiti s dudley dorival in third. scott was slightly disappointed with his run in the final. he won his heat in 7.64secs but ran 0.04secs slower in his first iaaf indoor grand prix circuit final.  i should have done better than that   he said.  i felt i could have won it. i got a poor start - but i still felt i should have ran faster.  vivancos slashed his personal best to equal the spanish record with a time of 7.60secs while kronberg and dorival clocked 7.62secs and 7.63secs respectively.,sport
62,robinson wants dual code success england rugby union captain jason robinson has targeted dual code success over australia on saturday.  robinson  a former rugby league international before switching codes in 2000  leads england against australia at twickenham at 1430 gmt. and at 1815 gmt  great britain s rugby league team take on australia in the final of the tri-nations tournament.  beating the aussies in both games would be a massive achievement  especially for league   said robinson. england have the chance to seal their third autumn international victory after successive wins over canada and south africa  as well as gaining revenge for june s 51-15 hammering by the wallabies. meanwhile  great britain could end 34 years of failure against australia with victory at elland road. britain have won individual test matches  but have failed to secure any silverware or win the ashes (with a series victory) since 1970.   they have a great opportunity to land a trophy and it would be a massive boost for rugby league in this country if we won   said robinson.  i know the boys can do it - they ve defeated the aussies once already in the tri-nations.  but robinson was not losing sight of the task facing his england side in their final autumn international.  for us  we ve played two and won two this november   he said.  if we beat australia it would be the end to a great autumn series for england. if we stumble then we ll be looking back with a few regrets. robinson also revealed that the union side had sent the great britain team a good luck message ahead of the showdown in leeds.  we signed a card for them today and will write them an email on saturday wishing them all the best   said robinson.  everyone has signed the card - a lot of the guys watch league and we support them fully.  both games will be very tough and hopefully we ll both do well.,sport
74,funding cut hits wales students the wales students rugby side has become a casualty of the welsh rugby union s reorganisation at youth level.  an amalgamated under-18 side formed from separate schools and national youth teams plays its first match on thursday  against italy at the gnoll. but that move has seen the wru decide to end its funding of representative sides such as wales students. as a result  traditional international fixtures against england and france in the new year have been cancelled. the welsh students rugby football union feels that it is unable to properly prepare for or stage the matches. the secretary of the welsh students rugby football union  reverend eldon phillips  said:  it is a shame that fixtures cannot be maintained this year.  the competition provided by the strong english and french teams has enabled the welsh students to test themselves in high quality matches.  the increasing number of young rugby players entering higher education look for the biggest challenge  that is representative rugby  but this year that opportunity will be denied them. players who have played for wales students before going on to win full senior representative honours include robert jones  rob howley  jon humphreys  darren morris  martyn williams and ceri sweeney.,sport
78,hodgson relishes european clashes former blackburn boss roy hodgson says the premiership should follow the rest of europe and have a winter break - but insists that a gruelling domestic schedule will not damage the english elite s bid for champions league glory.  hodgson - now in charge at viking stavanger - was at liverpool s clash with bayer leverkusen at anfield on tuesday as a member of uefa s technical committee. hodgson is a fierce advocate of the winter break employed throughout europe  although not in england - where the champions league contenders have ploughed through a heavy fixture list. but hodgson told bbc sport that while he believes the premiership should embrace the idea  he does not expect it to cost the english representatives in the last 16 of the champions league.  i just feel it is very difficult to say with certainty that teams who have had the break will have a definite edge.  i am a fervent supporter of the break. it gives players the chance to recharge their batteries midway through the season  which some suggest will give teams an advantage in the champions league.  the other school of thought suggests having a break then coming back to it puts you at a disadvantage.  the bigger discussions around the winter break should be to do with the nature of football today  the needs of football players and the way the premiership has developed  rather than one or two matches in the champions league in february.  hodgson believes a winter break carries many advantages  explaining:  as i said  it is the perfect chance to recharge batteries.   and certainly if i was still a manager in england i would be supporting any calls for its introduction.  in pre-season you get a lot of enthusiasm and energy but by the time you get towards christmas many players  having also played plenty of international matches for club and country and travelled a lot  find themselves getting very jaded.  the break gives them a chance to recover that energy and enthusiasm and  perhaps more importantly  recover their mental strength during the break and get ready for the games ahead.  the mental side is by far the most important thing.  hodgson added:  the length of breaks can vary. in italy the break was very short. you just took christmas and new year.  it was so short you didn t do anything. you gave the players a week or 10 days off  then you were training for a week or 10 days and then went into a game.  if it is longer  it is important those responsible for physical fitness give the players a programme to follow to ensure the physical strength they have accumulated stays with them.  and hodgson believes a winter break would be a positive step in the premiership. he said:  if we talk about football at elite level  which the premiership is  then i would support a winter break.  if you examine the demands of the premier league and  in particular on players who play international football for their club and country  then a break would do them the world of good - physically and mentally.,sport
79,o driscoll out of scotland game ireland captain brian o driscoll has been ruled out of saturday s rbs six nations clash against scotland.  o driscoll was originally named in the starting line-up but has failed to recover from the hamstring injury he picked up in the win over italy. his replacement will be named after training on friday morning. fellow centre gordon d arcy is also struggling with a hamstring injury and he will undergo a fitness test on friday to see if he can play.  kevin maggs would be an obvious replacement at centre while shane horgan could also be moved from wing. ulster wing tommy bowe could also be asked to travel with the squad to scotland as a precautionary measure. the only other change to the ireland side sees wasps flanker johnny o connor replacing denis leamy. o connor will be winning his third cap after making his debut in the victory over south africa last november.  : murphy  horgan  tbc  d arcy  hickie  o gara  stringer  corrigan  byrne  hayes  o kelly  o connell  s easterby  o connor  foley.  : sheahan  horan  o callaghan  miller  g easterby  humphreys  dempsey.,sport
